Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,Last_Third,PPA,CrsPA,Prog,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Press,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Height_Ground,Height_Low,Height_High,Body_Parts_Left,Body_Parts_Right,Body_Parts_Head,Body_Parts_TI,Body_Parts_Other,Outcomes_Cmp,Outcomes_Off,Outcomes_Out,Outcomes_Int,Outcomes_Blocks,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_#Pl,Dribbles_Megs,Carries_Carries,Carries_TotDist,Carries_PrgDist,Receiving_Targ,Receiving_Rec,Receiving_Rec_Pct,Miscon,Dispos
João Moutinho,pt POR,MF,Wolves,eng Premier League,32,1986,28.1,46.4,58.7,79.1,1024.8,261.3,0.5,1.64,30.4,30.5,34.4,88.6,15.4,22.6,68.1,0.21,0.19,0.02,2.42,4.63,1.07,0.43,7.37,58.7,49.1,9.57,4.2,0.21,10.4,3.81,6.55,5.02,1,2.17,0.43,28.6,12.6,17.4,3.63,51.6,2.56,0.18,0.18,46.4,0.14,0.85,0.85,1.17,66.4,1.48,12,36.4,20.6,0.34,56.9,0.65,0.93,70.4,0.72,0,40,178.3,95.6,43.3,1137,90.2,0.45,0.65
John Fleck,sco SCO,MF,Sheffield Utd,eng Premier League,27,1991,25.1,30.9,42,73.6,558.5,183.8,1.2,2.91,41.1,23.7,27.7,85.5,6.02,11.4,53,0.08,0.13,-0.05,1.39,3.39,1.2,0.24,4.74,42,37.1,4.86,1.12,0.08,8.45,2.31,5.34,2.75,1.67,0.4,0.2,24.3,7.97,9.76,35.6,3.43,2.11,0.24,0.28,30.9,0.32,0.76,0.76,1.83,50.6,1.3,7.66,22.3,23.7,2.03,45.9,1.53,2.22,69,1.72,3,32.1,175.4,101.5,36.5,821,86.1,1.11,0.84
John Lundstram,eng ENG,MF,Sheffield Utd,eng Premier League,25,1994,24.3,35.5,43.9,80.8,671.6,139.3,0.82,2.1,39.2,26.6,30.9,86.1,8.07,10.9,73.7,0.12,0.11,0.02,0.78,2.67,1.15,0.16,3.42,43.9,43.1,0.82,0.25,0.16,10.2,1.73,2.1,0.12,0.08,0,0.04,27.6,8.64,7.65,11.3,29.7,1.89,0.12,0.25,35.5,0.33,0.99,0.74,1.19,54.3,1.98,9.29,25.6,22.7,2.37,53.4,0.63,1.23,51.6,0.71,3,35.5,195,72.4,46.4,972,82.9,1.34,0.75
John McGinn,sco SCO,MF,Aston Villa,eng Premier League,24,1994,18.9,23.6,31.1,75.9,551.3,156,0.58,1.48,39.3,14.6,17.9,81.7,8.41,11.7,71.6,0.11,0.1,0.01,1.53,2.8,1.43,0.37,4.44,31.1,28.1,3.02,1.22,0.16,7.3,2.7,2.54,1.01,0.63,0.21,0.05,18,4.6,8.52,22.5,6.72,0.9,0.11,0.21,23.6,0.32,0.53,0.48,0.9,44.5,1.88,8.93,21,18.3,3.3,41.9,2.28,3.05,75,2.39,0,30.7,223.4,119.9,33.3,537,81.9,1.57,2.13
Jonjo Shelvey,eng ENG,MF,Newcastle Utd,eng Premier League,27,1992,15.8,31.6,44.2,71.4,792.8,268.5,0.32,0.95,33.3,18.2,21.5,84.4,13.1,21.8,60.2,0,0.15,-0.15,1.84,5.57,1.01,0.06,6.58,44.2,39.3,4.94,2.03,0.19,10.2,4.43,3.61,2.66,0.95,1.2,0.19,23.2,5.57,15.5,4.81,37.3,1.39,0.06,0.19,31.6,0.51,1.2,1.08,0.51,54.5,2.56,16.1,28.5,12.3,0.6,49.2,0.95,1.31,72.7,1.01,0,32.5,164,80.7,34.6,529,90.9,0.48,0.48
Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,27,1992,12.8,47.1,57.8,81.5,927,259.8,0.7,2.42,29,35.9,40.7,88.3,10.5,14.7,71.3,0,0.06,-0.06,1.48,5.39,0.94,0.23,6.64,57.8,54.7,3.13,2.19,0.08,11.6,2.66,2.34,0.63,0.16,0.47,0,39.9,7.89,10,4.14,50,2.03,0.31,0.47,47.1,0.31,0.47,0.86,1.56,68.9,1.09,12.3,44.9,16,1.02,66.3,1.72,2.58,66.7,1.72,1,52.1,303.6,164.1,54.1,623,89.9,1.09,2.34
Jordan Henderson,eng ENG,MF,Liverpool,eng Premier League,29,1990,22,63.4,75.5,83.9,1306.8,298.8,0.91,2.45,37,44.7,48.7,91.9,17.7,24.4,72.6,0.23,0.13,0.1,1,7.14,1.27,0.23,7.14,75.5,73.7,1.86,0.68,0.45,11.5,2.91,2.55,0.05,0,0,0,49,11.2,15.4,8.05,63.2,2.77,0.59,0.14,63.4,0.18,0.82,0.59,1.73,84.5,1.45,12.1,55.8,21.1,1.81,82.7,0.75,1.41,53.1,0.93,3,59.1,299.9,144.2,67.6,1425,92.8,0.57,0.44
Jordan Veretout,fr FRA,MF,Roma,it Serie A,26,1993,21.3,47.9,54.9,87.3,1031.3,252.3,0.52,1.22,42.3,33,36.1,91.3,14.4,17.6,82.1,0,0.08,-0.08,1.31,6.06,0.52,0.09,5.59,54.9,51.9,3,1.36,0,6.9,2.77,2.16,1.36,0.05,1.03,0.14,41.8,6.01,7.09,10.1,43.2,1.17,0.23,0,47.9,0.19,0.56,0.89,0.7,64,1.84,13,42.5,13.9,0.67,60.9,0.76,0.99,77.3,0.76,0,45.2,300.4,136.8,48.5,1039,96.1,0.54,0.54
Jorginho,it ITA,MF,Chelsea,eng Premier League,27,1991,22.3,72,82.3,87.5,1355.7,344.5,1.3,2.02,64.4,55.1,60.6,91,15.6,19.7,79.1,0.09,0.1,-0.01,0.99,8.52,1.3,0.04,7.4,82.3,80.1,2.24,2.02,0.18,17.4,2.24,0.31,0,0,0,0,56.5,12.5,13.4,4.75,75,1.79,0.22,0.22,72,0.27,0.63,0.85,0.76,92.2,3.18,22.1,59.3,16.4,0.58,90.1,0.76,1.03,73.9,0.85,0,67,287.6,142.8,69.1,1482,96.2,0.31,0.81
Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,17,2001,13.9,30.9,40,77.2,703.9,190.7,0.58,1.58,36.4,20.6,24.8,83.2,9.64,13.6,70.9,0,0.03,-0.03,0.58,4.32,0.72,0.07,4.32,40,38.3,1.73,1.65,0.22,8.85,3.02,0.72,0,0,0,0,21.1,8.06,10.9,6.19,30.6,1.51,0.07,0.5,30.9,0.14,1.01,1.08,0.65,49.8,1.65,12.3,33.5,6.91,0.29,48.5,0.79,1.51,52.4,0.79,1,33.1,169.9,87.8,32.9,411,89.7,1.22,0.5
José Campaña,es ESP,MF,Levante,es La Liga,26,1993,28.8,46.2,59.7,77.4,841.9,285.8,1.01,2.33,43.3,36,41.8,86.3,9.17,15.6,58.8,0.17,0.15,0.02,2.26,4.34,1.18,0.21,7.92,59.7,53.5,6.15,2.43,0.14,9.69,3.02,5.21,3.26,1.32,0.9,0.35,37.6,10.5,11.6,7.88,48.4,2.05,0.42,0.38,46.2,0.28,1.42,0.87,1.6,70.3,2.64,15.6,38.3,21.7,1.98,64.6,1.46,2.4,60.9,1.7,4,48,306,172.4,55.2,1421,89.4,1.74,1.25
Julian Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,31,1988,18.9,51.7,57.3,90.3,896.4,183,1.38,2.28,60.5,42,45,93.2,8.41,10,84.1,0.11,0.09,0.02,0.69,3.6,0.48,0,3.86,57.3,55,2.28,2.01,0.11,11.2,2.12,0.21,0.11,0.11,0,0,42.5,8.94,5.82,12,41.4,2.59,0.16,0.48,51.7,0.16,0.58,1.01,0.63,67.2,2.12,15.2,43.5,11.1,1.22,65.3,0.48,0.48,100,0.48,0,43.6,161.7,61.4,51,888,92.2,0.74,1.01
Karol Linetty,pl POL,MF,Sampdoria,it Serie A,24,1995,14,26.4,34,77.7,433.1,150.5,0.64,1.79,36,21.6,25.9,83.4,4.21,6.36,66.3,0.21,0.14,0.07,1.64,2.07,1.14,0.5,4.71,34,32.9,1.07,0.43,0,8.14,1.07,1.43,0.29,0.07,0.07,0,21.6,6.07,6.36,10.5,21.2,1.36,0.29,0,26.4,0,0.29,1.21,1.14,46.2,1.62,8.31,21.6,19.4,3.11,45.1,1.22,2.23,54.5,1.35,1,34.2,205.9,129.7,34.3,417,82.1,1.55,1.49
Kenny McLean,sco SCO,MF,Norwich City,eng Premier League,27,1992,26.4,39.5,50.9,77.7,692.7,224.5,1.21,2.39,50.8,30.8,36.7,84,7.54,11.9,63.6,0.04,0.06,-0.02,0.8,3.71,0.68,0.15,4.66,50.9,48.3,2.58,1.21,0.15,12.4,1.59,1.74,0.68,0.3,0.38,0,31.4,10.6,8.9,36.2,9.09,2.31,0.61,0.27,39.5,0.19,1.14,1.06,1.25,62.4,3.47,16.6,34.7,15.1,0.99,60.1,1.06,1.5,70.7,1.13,4,39.9,212.6,102.3,49.8,1173,85.9,1.24,1.09
Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,26,1993,17,54.4,69.6,78.1,1070.2,343.8,0.94,2.53,37.2,40.8,46.3,88.2,12.6,20.8,60.6,0.29,0.22,0.08,2.35,6.06,0.65,0.06,8.53,69.6,60.9,8.71,2.71,0.12,14.2,4.88,7.06,5.47,2.65,1.65,0.88,42.5,11.7,15.4,54.7,11.5,1.47,0.41,0.53,54.4,0.29,1.18,1.53,1.88,80.6,1.35,13,48.7,24.3,1.88,72.1,2.06,2.59,79.5,2.12,1,55,317,146.1,61.1,948,91.2,1.12,1.47
Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,28,1991,25,54.7,73,75,1130.4,350.8,0.84,2.88,29.2,38.5,46.6,82.7,15.4,23.5,65.3,0.68,0.56,0.12,3.8,5.64,3.76,0.6,11.6,73,64.1,8.84,1.64,0.96,12.6,4.28,9.92,5.84,1.84,1.64,0.64,48.4,9.76,14.8,7.92,62,1.28,1.24,0.12,54.7,0.4,1.04,2.2,3.16,84.1,1.08,7.52,37.6,45,5.24,75.2,2.16,3.24,66.7,2.2,0,59.4,331.6,221.1,70.4,1576,89.5,1.36,1.48
Kévin N'Doram,fr FRA,MF,Metz,fr Ligue 1,23,1996,18.3,44.1,49.2,89.7,823.6,207.1,0.71,1.48,48.1,34.6,37.5,92.1,8.8,10.2,86.6,0,0.03,-0.03,0.55,3.11,0.33,0,3.17,49.2,47.2,1.97,1.69,0.05,8.96,1.26,0,0.05,0,0,0,38.9,5.19,5.08,3.06,42.8,1.97,0.11,0.11,44.1,0,0.71,0.87,0.6,59,2.19,16,41.4,6.01,0.38,57.7,1.2,1.86,64.7,1.37,1,42,249.8,129.7,43.6,736,92.3,0.6,0.93
Kevin Stöger,at AUT,MF,Düsseldorf,de Bundesliga,25,1993,13.1,55.6,69.3,80.2,1110.8,278,1.22,2.52,48.5,39.5,44.6,88.5,14.9,22.2,67,0.31,0.15,0.15,1.6,5.27,1.07,0.23,7.33,69.3,60.8,8.55,5.19,0.08,9.69,3.66,3.97,2.37,0.53,0.84,0.23,42.4,12.1,14.8,54.7,11.1,2.21,0.76,0.23,55.6,0.23,1.45,0.99,1.53,79.5,1.3,15.3,46.3,22.2,0.76,71.6,1.68,2.21,75.9,1.68,0,53.7,258.3,117.4,57.9,705,93,1.15,1.53
Kevin Strootman,nl NED,MF,Marseille,fr Ligue 1,29,1990,15.7,52.5,59.9,87.6,977.9,269.1,1.27,2.23,57.1,40.6,44.4,91.5,10.6,13.3,79.4,0.19,0.06,0.13,0.76,5.29,0.64,0.13,5.48,59.9,56.6,3.31,2.55,0.06,8.79,0.96,0.32,0,0,0,0,45,7.32,7.58,48.2,7.32,2.61,0.7,0.13,52.5,0.13,0.45,0.64,0.96,70,2.17,16.1,47.3,11.1,1.46,66.9,0.19,0.38,50,0.19,0,43.8,223.6,112.9,49.6,737,94.6,0.64,0.38
Klaus Gjasula,al ALB,MF,Paderborn 07,de Bundesliga,29,1989,25.3,35.5,45.6,77.8,804.2,231.5,0.28,1.58,17.5,23.1,28,82.5,12.1,16,75.6,0.04,0.06,-0.02,1.07,4.35,0.24,0,4.51,45.6,44.9,0.75,0.71,0.08,9.57,2.25,0.2,0,0,0,0,28.2,7.51,9.88,13.8,28.1,2.06,0.04,0.28,35.5,0.08,0.79,0.87,1.15,56.6,4.47,21.7,30.8,7.39,1.23,55.8,1.03,1.23,83.9,1.11,1,35.1,175.5,85.3,37.7,867,90.9,0.67,0.83
Koke,es ESP,MF,Atlético Madrid,es La Liga,27,1992,24,47.7,58.6,81.4,744.6,216.4,2.21,3.29,67.1,39,43.1,90.4,6.5,12.2,53.4,0.21,0.22,-0.01,2.29,4,0.83,0.21,5.63,58.6,52.3,6.33,3.08,0.38,9,1.17,3.33,2.54,0.63,1.13,0.17,40.3,7.79,10.5,4.42,51.2,1.96,0.21,0.17,47.7,0.63,0.83,0.83,0.96,68,1.21,10.6,38.7,21.3,1.88,61.8,0.58,0.83,70,0.58,0,42.3,152.2,69.3,51.8,1094,88.1,1.17,1
Konrad Laimer,at AUT,MF,RB Leipzig,de Bundesliga,22,1997,23.5,45.4,55.1,82.4,798.7,238.8,1.36,3.15,43.2,36.3,40.7,89.1,7.79,11.3,69.1,0.26,0.11,0.14,0.6,4.47,0.94,0.09,5.74,55.1,53.5,1.62,1.15,0.26,11.7,1.28,0.34,0,0,0,0,37.6,9.11,8.47,10,41.7,1.7,0.47,0.43,45.4,0.13,0.98,1.15,1.36,67.8,1.66,13.5,44.3,14.8,0.81,66.3,1.49,2.13,70,1.74,0,45.2,243.6,137.6,48.6,1039,90.9,1.32,1.02
Lamine Fomba,fr FRA,MF,Nîmes,fr Ligue 1,21,1998,15.3,19.6,27.8,70.4,336.6,73.9,0.59,1.96,30,15.6,20.5,76.1,3.4,5.36,63.4,0,0.03,-0.03,0.46,1.31,0.26,0,2.03,27.8,27.5,0.39,0.13,0.13,6.99,0.78,0.39,0,0,0,0,17.7,4.71,5.42,5.42,17.3,2.42,0.07,0.33,19.6,0.13,0.52,0.72,1.37,41.6,2.03,9.87,22.7,11.6,1.44,41.2,1.24,2.09,59.4,1.5,0,23.7,140.4,69.9,26.8,314,76.6,1.7,1.31
Lasse Schöne,dk DEN,MF,Genoa,it Serie A,33,1986,20.1,51,60.8,83.9,923.2,253.9,1.14,2.39,47.9,39.5,43.5,90.8,10.3,14.9,69.3,0.1,0.12,-0.02,1.34,3.88,0.9,0.15,6.07,60.8,54.1,6.72,2.64,0.15,10.8,2.04,4.38,3.88,0.65,1.59,0.4,45.4,6.32,9.1,4.18,53.8,1.69,0.2,0.25,51,0.2,0.65,0.65,1.09,71.4,3.23,17.2,37.6,21.1,1.24,64.4,1.64,2.69,61.1,1.84,2,49.7,275.7,121.9,50.9,959,93.7,0.95,1.44
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,19,2000,10.4,26.4,35.4,74.7,490.7,140.8,0.38,1.44,26.7,20.4,25.3,80.6,5.67,8.65,65.6,0.19,0.02,0.17,0.48,2.6,0.19,0,4.13,35.4,34,1.35,0.87,0,6.25,0.87,0.48,0.38,0.1,0.19,0,19.2,7.21,8.94,5.29,25.4,3.37,0.1,0.19,26.4,0,0.38,0.77,0.96,47.9,1.83,11.6,29,8.85,0.87,46.6,0.38,0.77,50,0.48,0,25,91.4,49,26.2,247,90.8,0.87,0.67
Leon Goretzka,de GER,MF,Bayern Munich,de Bundesliga,24,1995,15.9,47.4,55.1,86.1,873.2,173.4,1.01,2.83,35.6,37.2,41.2,90.2,9.25,11.1,83.5,0.31,0.18,0.13,1.13,4.53,1.38,0.06,4.65,55.1,54.2,0.94,0.38,0.13,9.37,1.07,0.25,0,0,0,0,40.6,8.74,5.79,3.08,47.7,2.33,0.13,0.57,47.4,0.25,0.82,0.88,1.38,65.3,1.07,9.69,41.6,18.1,2.89,64.4,1.07,1.64,65.4,1.07,2,47,243.6,130.7,55.4,763,86.6,1.13,1.01
Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,22,1997,12.2,38.7,49.6,78,780.2,228.2,0.41,1.8,22.7,28.4,33.7,84.4,9.84,14.1,69.8,0,0.07,-0.07,0.82,3.77,0.74,0.08,5,49.6,48,1.56,0.98,0.41,9.43,1.39,0.74,0.08,0,0,0,30.1,10.7,8.77,3.2,43.4,1.64,0.49,0.08,38.7,0.41,0.82,0.9,1.8,58.4,3.03,15.1,30.5,16.3,0.91,57.1,2.42,3.03,80,2.5,5,43.2,235,104.5,44.2,523,89.7,1.36,1.97
Lorenzo Pellegrini,it ITA,MF,Roma,it Serie A,23,1996,16.7,40.8,53.6,76.2,789.8,242,0.72,2.46,29.3,30.7,35.2,87.2,9.4,15.9,59,0.48,0.35,0.13,3.05,4.49,2.81,0.54,8.38,53.6,45.1,8.5,2.4,0.78,9.04,3.41,6.77,4.37,0.9,2.28,0.48,34.3,6.71,12.6,6.71,45.4,0.36,0.6,0.18,40.8,0,0.72,1.14,1.74,66.9,1.29,7.18,31.8,34.1,3.47,58.8,1.41,2.47,57.1,1.59,4,43.6,357.9,196.1,57.1,804,82.8,2.35,1.41
Luca Cigarini,it ITA,MF,Cagliari,it Serie A,33,1986,17.4,56.5,69.9,80.8,1148.3,409.5,0.86,1.61,53.6,40.8,44.7,91.4,14.8,23.6,62.8,0.23,0.17,0.06,2.36,7.07,0.8,0,8.16,69.9,60.2,9.71,6.21,0.29,7.36,4.08,4.83,3.39,0.8,1.49,0.46,41.1,9.83,19,7.82,60.1,1.38,0.06,0.23,56.5,0.17,1.78,0.75,0.75,78.7,3.45,22.8,45.9,15.4,0.34,69.8,0.52,0.63,81.8,0.57,0,48.2,205,110.6,53.6,884,94.8,0.57,0.69
Lucas Deaux,fr FRA,MF,Nîmes,fr Ligue 1,30,1988,14.8,36.6,46.7,78.3,757.7,228.9,0.47,1.35,35,26.2,32.2,81.3,9.86,13.1,75.3,0.07,0.06,0.01,0.88,4.19,0.41,0.07,5.81,46.7,45.5,1.22,0.81,0.14,8.92,2.3,0.95,0.07,0,0.07,0,25.8,9.32,11.6,4.73,34,4.39,0.2,0.68,36.6,0,1.01,0.61,0.88,59.5,2.36,15.6,37,10.6,1.96,58.4,0.95,1.35,70,0.95,0,34.5,181.4,95,37.4,492,89,0.81,0.68
Lucas Leiva,br BRA,MF,Lazio,it Serie A,32,1987,18.8,49.4,55.9,88.5,982.4,280.6,0.85,1.81,47.1,36.4,39.8,91.3,12.2,14.2,85.8,0.05,0.11,-0.05,0.96,5,0.59,0.05,6.01,55.9,54.1,1.7,1.54,0.11,8.46,1.6,0.32,0,0,0,0,39.7,9.26,6.91,4.95,46.2,3.3,0.16,0.21,49.4,0.16,0.48,1.17,0.74,66.8,3.67,18.3,42.5,9.1,0.43,65.2,0.37,0.59,63.6,0.48,1,42.4,205,103.8,42.9,777,96.3,0.37,0.74
Lucas Torreira,uy URU,MF,Arsenal,eng Premier League,23,1996,15.3,47.1,53.7,87.7,931.5,200,0.59,1.63,36,33.8,37.3,90.7,12.7,14.8,85.8,0.07,0.07,-0.01,0.92,2.68,0.2,0,3.73,53.7,51.4,2.29,1.44,0.07,11.3,0.52,0.78,0.72,0.2,0.2,0.2,36.7,8.95,7.97,5.1,44.9,3.01,0.13,0.13,47.1,0.07,0.39,0.65,0.98,64.8,3.46,18.5,39.2,11.2,2.03,63.1,0.85,0.92,92.9,0.85,1,44.3,205.1,95.9,45.9,646,92,0.72,0.92
Lucas Tousart,fr FRA,MF,Lyon,fr Ligue 1,22,1997,19.6,40.9,48.3,84.8,820.8,154.8,1.02,2.09,48.8,28.4,32.2,88.3,11.5,14,82.1,0.1,0.04,0.07,0.56,3.21,0.36,0.2,3.42,48.3,47.3,0.92,0.82,0,10.8,1.48,0.66,0.05,0,0,0,35.2,6.38,6.73,5.31,38.2,3.01,0.05,0.2,40.9,0.05,1.12,0.66,0.87,59.7,2.3,15.7,38.9,8.98,1.33,59,0.87,1.43,60.7,0.97,0,40.3,241.7,116.1,42,756,91.9,0.51,0.66
Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,23.9,54.3,66.8,81.3,987.4,340.8,1.34,2.72,49.2,41.8,46.8,89.4,11.1,17.3,64.4,0.5,0.32,0.18,3.01,6.95,2.72,0.17,10.3,66.8,59,7.78,1.8,0.46,13.4,2.89,4.77,4.23,1.59,1.38,0.46,47.2,8.83,10.8,2.55,62.2,0.79,0.67,0.46,54.3,0.5,0.79,1.09,1.46,77.1,0.65,9.76,41.9,34.7,3.16,69.5,2.11,3.04,69.3,2.19,3,60.7,463,309.2,63,1394,89.6,1.38,1.82
Luis Rioja,es ESP,MF,Alavés,es La Liga,25,1993,14.6,16.5,23.9,69.1,245.8,82.1,0.48,1.99,24.1,14.6,17.5,83.5,1.44,4.45,32.3,0,0.13,-0.13,0.96,0.89,0.62,0.27,2.26,23.9,22.5,1.44,0.48,0,4.25,0.41,3.42,0.34,0.07,0.21,0,14.9,3.84,5.21,19.2,1.99,1.71,0.48,0.21,16.5,0.14,0.62,0.48,1.64,32.9,0.65,5,15.1,16.6,1.36,31.6,1.3,2.4,54.1,1.36,0,23.9,188.4,116.9,30.7,333,70.4,1.75,1.43
Luka Milivojević,rs SRB,MF,Crystal Palace,eng Premier League,28,1991,22.8,41,53.9,76.1,877.7,297.5,0.61,1.05,58.3,28.2,32.5,87,12.1,20.4,59.7,0.04,0.08,-0.04,1.1,3.6,0.31,0,6.23,53.9,44.4,9.47,5.31,0.04,8.9,4.04,5.66,3.86,2.32,1.05,0.22,31.1,7.68,15.1,6.71,43.6,2.06,0.18,0.53,41,0.09,1.32,0.79,0.66,63.8,3.51,18.4,34.8,13.4,0.17,54.2,0.48,0.61,78.6,0.52,0,33.2,152.1,68.2,35.5,775,94.6,0.65,0.48
Luka Modrić,hr CRO,MF,Real Madrid,es La Liga,33,1985,17,59.1,68.4,86.3,1083.4,275.3,1.47,3,49,44.2,48.1,91.9,13.4,17.4,77.3,0.24,0.14,0.1,1.94,5.06,1.47,0.35,6.06,68.4,65.1,3.35,2.12,0.06,11.1,3.35,2.71,1.06,0.29,0.53,0,49.2,10.1,9.12,7.88,57.2,2.06,0.18,0.59,59.1,0.29,0.76,0.76,1.65,78.4,1.18,13.4,43.7,27.3,2.02,75.3,1.52,2.7,56.3,1.8,2,58,351.7,155.9,67.8,1090,90.3,1.63,1.4
Mahdi Camara,fr FRA,MF,Saint-Étienne,fr Ligue 1,21,1998,10,38.8,46.3,83.8,665.3,103.3,1.4,2.3,60.9,30.8,34.7,88.8,6.6,9.3,71,0,0.01,-0.01,0.2,2.1,0.2,0,2.3,46.3,46,0.3,0.3,0,10.1,1,0.7,0,0,0,0,34.3,7.2,4.8,1.3,41.6,1.9,0,0.2,38.8,0.1,0.7,0.5,0.9,58.4,1.2,13.3,39.6,9.1,1,58.1,1,1.4,71.4,1.1,1,39.5,281.1,116,44.8,399,89.1,0.6,1.2
Manu García,es ESP,MF,Alavés,es La Liga,33,1986,19.6,23.9,32.8,73.1,432.2,96.6,0.56,1.89,29.7,18.7,23.3,80.3,4.69,7.6,61.7,0,0.01,-0.01,0.05,2.09,0,0,1.99,32.8,32.1,0.61,0.56,0.05,8.37,0.87,0.15,0,0,0,0,19.1,5.31,8.32,16.4,9.74,4.8,0,0.1,23.9,0.05,1.33,0.31,1.22,44.4,2.49,9.19,30.6,6.14,1.27,43.9,0.51,0.76,66.7,0.61,0,23.7,99.8,32.6,30.8,493,81.4,1.02,1.22
Manu Trigueros,es ESP,MF,Villarreal,es La Liga,27,1991,14.9,44.7,52.5,85.2,839.8,250.1,0.87,1.95,44.8,34.2,37.7,90.9,9.6,12.9,74.5,0.27,0.26,0.01,1.95,6.11,1.28,0,6.17,52.5,49.6,2.89,1.48,0.4,9.66,0.94,1.81,1.21,0.13,0.74,0.07,36.9,7.65,7.92,13.7,35.3,2.48,0.13,0.4,44.7,0.27,0.27,0.67,0.87,62.9,2.35,11.5,38.7,16,1.61,60.1,0.87,1.28,68.4,0.94,0,43.2,193,92.8,53.3,695,87.5,0.81,0.94
Manuel Locatelli,it ITA,MF,Sassuolo,it Serie A,21,1998,18.4,62.8,73.9,84.9,1164.2,287.8,0.92,1.68,54.8,49.1,54.3,90.4,12.8,17.9,71.2,0.22,0.17,0.05,1.63,7.17,1.36,0.11,6.14,73.9,70,3.91,2.99,0.43,11.6,2.93,2.28,0.76,0.33,0.27,0.11,54.7,8.32,10.9,17,54.6,1.2,0.16,0.22,62.8,0.27,0.87,1.52,1.09,87.8,3.8,17.9,53.3,22.3,1.39,84.4,1.87,2.89,64.8,1.93,1,61.9,338.7,204.7,70.1,1241,94.7,1.12,1.71
Marc Roca,es ESP,MF,Espanyol,es La Liga,22,1996,26,42,52.6,79.8,910.7,284.3,0.77,1.81,42.6,28.8,33.1,87.2,12.3,17.7,69.8,0.04,0.07,-0.03,0.77,7.08,0.81,0.15,7.46,52.6,50.6,2,1.69,0.19,7.19,2.77,1.62,0.23,0.12,0.04,0.04,31.8,6.38,14.3,38.8,9.35,3.27,0,0.35,42,0.15,0.88,0.5,0.96,62,2.65,13.8,42.7,9.08,0.54,60.1,0.42,0.69,61.1,0.42,0,39.6,215.8,113.1,42.4,1020,92.5,0.92,0.5
Marcelo Brozović,hr CRO,MF,Inter,it Serie A,26,1992,22.1,64.8,74,87.6,1385.7,323.5,0.9,2.04,44.4,42.9,46.8,91.7,21,25.1,83.4,0.23,0.1,0.13,1.49,6.56,1.36,0.05,7.38,74,69.3,4.66,3.44,0.09,11,4.07,1.9,1.09,0.32,0.09,0.09,51.2,12.5,10.3,9.95,60.8,2.31,0.14,0.09,64.8,0.36,1.04,1.22,1.13,85.5,3.17,21,51.6,18.7,1.22,81.1,0.77,1.09,70.8,0.81,0,59.1,326.1,143.1,63.8,1353,95.9,0.63,0.72
Marco Benassi,it ITA,MF,Fiorentina,it Serie A,24,1994,10.2,23.1,30.7,75.4,392.4,135.8,0.39,1.47,26.7,19.5,23.7,82.2,3.24,5.49,58.9,0.1,0.12,-0.02,1.76,2.25,0.98,0.59,4.12,30.7,29.7,0.98,0.2,0.1,6.76,0.49,1.76,0.1,0,0,0,18.3,7.25,5.1,7.55,21.2,1.18,0.39,0.1,23.1,0.1,0.59,0.69,0.98,40.8,1.08,8.92,17,18,2.84,39.8,0.69,1.27,53.8,0.69,0,26.3,137.8,73.9,33.4,275,80.6,0.78,1.08
Marco Stiepermann,de GER,MF,Norwich City,eng Premier League,28,1991,10.4,23.8,32.3,73.8,338.5,100.5,1.35,3.17,42.4,19.8,24.4,81.1,2.69,4.71,57.1,0,0.05,-0.05,0.87,2.6,0.77,0.1,3.46,32.3,30.5,1.83,0,0.29,9.23,0.29,0.38,0,0,0,0,23.1,5,4.23,27.3,2.98,1.15,0.1,0.19,23.8,0,0.67,0.87,1.73,43.8,1.54,6.35,23.3,17.4,3.65,41.9,1.83,2.98,61.3,2.02,3,31.2,198.8,119.7,46.3,330,68.6,1.44,1.63
