Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,Last_Third,PPA,CrsPA,Prog,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Press,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Height_Ground,Height_Low,Height_High,Body_Parts_Left,Body_Parts_Right,Body_Parts_Head,Body_Parts_TI,Body_Parts_Other,Outcomes_Cmp,Outcomes_Off,Outcomes_Out,Outcomes_Int,Outcomes_Blocks,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_#Pl,Dribbles_Megs,Carries_Carries,Carries_TotDist,Carries_PrgDist,Receiving_Targ,Receiving_Rec,Receiving_Rec_Pct,Miscon,Dispos
Fabian Delph,eng ENG,MF,Everton,eng Premier League,29,1989,13.2,51.2,58.9,86.9,1061.2,268.2,0.53,1.21,43.8,36.4,39.5,92,14.3,18.2,78.8,0,0.02,-0.02,0.45,4.77,1.14,0.3,5.08,58.9,57.8,1.14,0.83,0.15,9.24,2.12,0.61,0,0,0,0,41.7,8.56,8.71,36.6,18.9,2.12,0.15,0.23,51.2,0.15,0.98,0.45,0.53,67.8,2.42,17.4,44.1,11.4,0.08,66.8,1.52,1.82,83.3,1.52,0,47,247.2,114.8,48.1,613,96.5,0.76,0.68
Fabián Ruiz Peña,es ESP,MF,Napoli,it Serie A,23,1996,21.4,70.2,78,90,1331.8,325,1.07,2.71,39.7,53,57,93.1,16.1,18.4,87.8,0.09,0.1,0,1.45,7.99,1.78,0.14,7.8,78,75.6,2.43,1.92,0.09,15.7,3.04,0.42,0.05,0,0.05,0,60.4,10.5,7.2,68.8,6.73,1.31,0.47,0.37,70.2,0.14,0.28,0.84,1.68,88.6,2.29,16.1,54.4,24.7,1.59,86.4,1.31,1.92,68.3,1.36,7,69.5,359.7,210.9,75.7,1508,93.1,1.03,1.07
Fabinho,br BRA,MF,Liverpool,eng Premier League,25,1993,17.1,56.7,65.4,86.6,1203,232.6,0.58,1.4,41.7,39.2,43.3,90.6,16.8,20.7,81.4,0.06,0.07,-0.01,0.88,6.08,0.99,0.12,4.62,65.4,64.3,1.17,0.76,0.23,12.2,1.75,0.47,0,0,0,0,43.3,9.77,12.4,4.39,56.7,2.75,0.23,0,56.7,0.12,0.7,0.41,0.76,76.6,1.71,14.9,50.3,15.1,0.61,75.6,0.39,0.5,77.8,0.44,1,49.7,227.1,103.9,55.2,959,96,0.55,0.39
Fede San Emeterio,es ESP,MF,Valladolid,es La Liga,22,1997,14.4,28.9,35.6,81.1,561.9,136,0.56,1.25,44.4,21.3,24.5,86.7,7.08,9.86,71.8,0,0.01,-0.01,0.28,2.36,0.07,0,2.01,35.6,35.1,0.56,0.56,0,6.88,0.9,0.21,0,0,0,0,21.3,6.67,7.71,2.78,28.5,2.85,0,0.21,28.9,0.07,0.49,0.21,0.63,42.5,1.94,13.3,25.8,4.93,0.35,42.1,0.14,0.21,66.7,0.14,0,24.2,82.6,24.7,27.1,356,91.3,0.35,0.28
Fernando,br BRA,MF,Sevilla,es La Liga,32,1987,26.5,46.6,51.7,90.1,1004.8,234.8,0.87,1.28,67.6,30.6,33.3,91.8,15.1,17.1,88.5,0.11,0.02,0.09,0.38,3.02,0.23,0.11,2.6,51.7,49.8,1.89,1.55,0.04,6.26,2.6,0.08,0.04,0,0.04,0,36.1,8.75,6.87,5.58,41.2,2.98,0.3,0.45,46.6,0.11,0.64,0.3,0.3,62.7,5.21,22.6,37.4,6.08,0.94,60.9,0.57,0.79,71.4,0.64,1,38,188.2,88.8,40.1,1005,94.6,0.64,0.38
Florent Mollet,fr FRA,MF,Montpellier,fr Ligue 1,27,1991,18.7,37.2,47.8,77.8,718.7,187.7,1.02,2.35,43.2,27.4,30.7,89,8.77,14.7,59.9,0.16,0.21,-0.05,2.09,3.58,0.7,0.16,5.56,47.8,41.3,6.42,2.62,0.16,9.14,3.42,6.79,3.37,1.71,1.12,0.27,30.8,6.84,10.1,7.91,38.5,0.53,0.11,0.21,37.2,0.05,1.07,0.96,1.55,57.1,0.37,6.58,30.5,22.9,2.09,50.9,0.8,1.76,45.5,0.8,0,41.2,224.7,95.8,54.7,770,75.3,1.44,1.18
Florian Grillitsch,at AUT,MF,Hoffenheim,de Bundesliga,23,1995,25.8,59,66.6,88.6,1246.6,279.2,0.62,1.43,43.2,40.5,43.8,92.5,17.9,21.3,83.8,0.12,0.1,0.02,0.78,4.19,0.97,0.19,5.27,66.6,63,3.53,3.1,0.23,14.5,1.74,0.47,0.04,0,0.04,0,48.3,8.84,9.42,6.63,55.7,2.67,0.35,0.23,59,0.16,0.58,0.66,0.89,77.7,4.34,26.1,49.1,9.34,0.89,74.8,0.93,1.36,68.6,0.93,0,51.8,350.1,173.5,55,1372,96.6,0.66,1.36
Florian Neuhaus,de GER,MF,M'gladbach,de Bundesliga,22,1997,25.2,39.1,47.7,81.9,728.4,208,0.83,1.51,55.3,29.9,34.5,86.7,8.33,11.7,71.4,0.08,0.12,-0.04,0.95,3.13,1.11,0.08,5.28,47.7,45.3,2.38,1.59,0.12,9.96,1.67,1.19,0.75,0.24,0.2,0.12,34.4,7.34,5.99,8.77,37.3,0.87,0.04,0.44,39.1,0.28,0.48,1.27,0.67,58.4,1.43,13.9,34.8,14.6,2.18,56.3,1.87,2.54,73.4,2.02,2,42.9,256.7,150.4,46.5,1026,87.5,1.11,1.11
Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,20,1999,15.8,41.4,46.5,89.1,779.7,153.3,0.57,1.33,42.9,31.7,34.3,92.4,9.11,10.8,84.2,0,0.03,-0.03,0.63,3.35,0.19,0,2.34,46.5,44.9,1.58,1.01,0,9.3,1.33,0.82,0.38,0.06,0.06,0.06,35.9,5.13,5.38,5.95,39.1,0.57,0.13,0.19,41.4,0.13,0.63,0.44,0.63,54.2,1.96,12.7,34.7,10.6,0.67,52.6,0.86,1.23,70,0.92,1,40.9,218.8,86.8,44,640,89.1,0.98,1.35
Fran Mérida,es ESP,MF,Osasuna,es La Liga,29,1990,10.6,44.5,58.8,75.8,1034.5,293.4,0.75,1.7,44.4,28.1,34.6,81.2,15.7,22.5,69.7,0,0.02,-0.02,0.66,5.85,0.94,0.19,6.79,58.8,56,2.74,1.98,0.09,9.62,4.15,1.42,0.28,0.09,0.09,0,32.6,9.72,16.4,46.7,8.21,2.64,0.28,0.28,44.5,0.28,2.17,1.04,1.04,69.7,1.13,14.1,46.4,13.1,0.85,67.6,1.79,2.64,67.9,1.98,0,47.3,214.7,112,52.3,513,92.6,0.66,1.6
